Threshold (sec),Threshold (min),Videos Captured,Percentage,Videos Lost
180,3.0,93,93.00%,7
300,5.0,97,97.00%,3
600,10.0,100,100.00%,0
900,15.0,100,100.00%,0
1200,20.0,100,100.00%,0
1800,30.0,100,100.00%,0
