duration
10
24
42
39
16
568
15
62
60
60
29
10
9
117
14
10
74
72
30
60
91
57
78
19
61
32
26
11
8
23
80
62
58
170
79
64
374
41
58
139
60
65
10
6
18
12
86
26
51
64
23
60
219
35
30
82
164
50
14
18
33
70
28
101
197
29
8
29
62
44
60
60
5
107
75
7
41
398
6
29
9
60
54
47
179
60
237
209
11
20
9
57
14
34
17
157
9
178
7
14
