video_id,username,video_url,error
7558085336299998495,steveninvests,https://www.tiktok.com/@steveninvests/video/7558085336299998495,Download failed
7558085993409039630,hannwasbi,https://www.tiktok.com/@hannwasbi/video/7558085993409039630,Download failed
7558085926287609101,spencerkozej0,https://www.tiktok.com/@spencerkozej0/video/7558085926287609101,Download failed
7558085601325501727,goat.tingz2,https://www.tiktok.com/@goat.tingz2/video/7558085601325501727,Download failed
7558085165503892750,mayarcsftpl,https://www.tiktok.com/@mayarcsftpl/video/7558085165503892750,Download failed
7558084849496608013,carline022,https://www.tiktok.com/@carline022/video/7558084849496608013,Download failed
7546965227569564959,qazifazlullah,https://www.tiktok.com/@qazifazlullah/video/7546965227569564959,Skipped: video too long (2655s > 180s limit)
7558086850804583711,jennie_lavon,https://www.tiktok.com/@jennie_lavon/video/7558086850804583711,Download failed
7558086846027173150,snyderreportsus,https://www.tiktok.com/@snyderreportsus/video/7558086846027173150,Skipped: video too long (189s > 180s limit)
7558086862691224863,jennierula,https://www.tiktok.com/@jennierula/video/7558086862691224863,Download failed
7558086535262784823,cryptooracle88,https://www.tiktok.com/@cryptooracle88/video/7558086535262784823,Download failed
7558087236865101069,greg8397,https://www.tiktok.com/@greg8397/video/7558087236865101069,Download failed
7558087532248861982,motivetok74,https://www.tiktok.com/@motivetok74/video/7558087532248861982,Download failed
7558087951494778167,aj_stonebuilderrefused,https://www.tiktok.com/@aj_stonebuilderrefused/video/7558087951494778167,Skipped: video too long (346s > 180s limit)
7558087851586440461,theunknownpaths,https://www.tiktok.com/@theunknownpaths/video/7558087851586440461,Download failed
7558088034000899342,stockzgirl,https://www.tiktok.com/@stockzgirl/video/7558088034000899342,Download failed
7558088046021790989,1of8.0,https://www.tiktok.com/@1of8.0/video/7558088046021790989,Skipped: video too long (283s > 180s limit)
7558088445734718733,trade.herway,https://www.tiktok.com/@trade.herway/video/7558088445734718733,Download failed
7558088634855902494,donpoolskiiclips,https://www.tiktok.com/@donpoolskiiclips/video/7558088634855902494,Download failed
7558089238705704223,al.quraan098,https://www.tiktok.com/@al.quraan098/video/7558089238705704223,Download failed
7558089527131245838,ulwdv47g,https://www.tiktok.com/@ulwdv47g/video/7558089527131245838,Download failed
7558089760594611486,mompreneur969,https://www.tiktok.com/@mompreneur969/video/7558089760594611486,Download failed
7558089882250399006,full.time.mom.sharon92,https://www.tiktok.com/@full.time.mom.sharon92/video/7558089882250399006,Skipped: video too long (266s > 180s limit)
7558089558261353783,cryptotradingsignalfree,https://www.tiktok.com/@cryptotradingsignalfree/video/7558089558261353783,Download failed
7558090400808963359,melissajune_,https://www.tiktok.com/@melissajune_/video/7558090400808963359,Download failed
7558090714135956767,franckelformetus,https://www.tiktok.com/@franckelformetus/video/7558090714135956767,Skipped: video too long (217s > 180s limit)
7558090868188581133,clumsy_carpenter,https://www.tiktok.com/@clumsy_carpenter/video/7558090868188581133,Skipped: video too long (276s > 180s limit)
7558091641869913374,hannadurdn,https://www.tiktok.com/@hannadurdn/video/7558091641869913374,Download failed
7558091817489648951,sinner2savior,https://www.tiktok.com/@sinner2savior/video/7558091817489648951,Download failed
7558091932983938317,alpha.origins,https://www.tiktok.com/@alpha.origins/video/7558091932983938317,Download failed
7558092158067084599,helena_june,https://www.tiktok.com/@helena_june/video/7558092158067084599,Download failed
7558091537326951711,05.16.2006,https://www.tiktok.com/@05.16.2006/video/7558091537326951711,Download failed
7558091408393932062,grand.aura1,https://www.tiktok.com/@grand.aura1/video/7558091408393932062,Download failed
7558092279865560334,agloveislove,https://www.tiktok.com/@agloveislove/video/7558092279865560334,Download failed
7558092348379385102,web.0standard,https://www.tiktok.com/@web.0standard/video/7558092348379385102,Download failed
7558092465358654775,sameolg43,https://www.tiktok.com/@sameolg43/video/7558092465358654775,Download failed
7558013913858624823,autismfamilytravel,https://www.tiktok.com/@autismfamilytravel/video/7558013913858624823,Download failed
7558092507968589111,lisaonimpact,https://www.tiktok.com/@lisaonimpact/video/7558092507968589111,Skipped: video too long (322s > 180s limit)
7558092496866184503,thediaryofaceofan,https://www.tiktok.com/@thediaryofaceofan/video/7558092496866184503,Skipped: video too long (392s > 180s limit)
7558092654072843575,vghostofwallstreet,https://www.tiktok.com/@vghostofwallstreet/video/7558092654072843575,Download failed
7558093359839972638,btakay_,https://www.tiktok.com/@btakay_/video/7558093359839972638,Download failed
7558092965588077838,thediaryofaceofan,https://www.tiktok.com/@thediaryofaceofan/video/7558092965588077838,Skipped: video too long (370s > 180s limit)
7558093493726416158,blrtsu7e91,https://www.tiktok.com/@blrtsu7e91/video/7558093493726416158,Download failed
7558093567357504781,the.afterpartypod,https://www.tiktok.com/@the.afterpartypod/video/7558093567357504781,Download failed
7558093845636975902,easfinancialcoach,https://www.tiktok.com/@easfinancialcoach/video/7558093845636975902,Download failed
7558093670872878391,co.ach.ty.private.page,https://www.tiktok.com/@co.ach.ty.private.page/video/7558093670872878391,Skipped: video too long (225s > 180s limit)
7558093800707542303,blrtsu7e91,https://www.tiktok.com/@blrtsu7e91/video/7558093800707542303,Download failed
7558093943565602078,fuckadoodledoom,https://www.tiktok.com/@fuckadoodledoom/video/7558093943565602078,Download failed
7558094741380877623,thediaryofaceofan,https://www.tiktok.com/@thediaryofaceofan/video/7558094741380877623,Skipped: video too long (387s > 180s limit)
7558095156155583799,alexmbq3,https://www.tiktok.com/@alexmbq3/video/7558095156155583799,Skipped: video too long (596s > 180s limit)
7558095182349045006,shellyrankine_,https://www.tiktok.com/@shellyrankine_/video/7558095182349045006,Download failed
7558095614085483807,benwistone,https://www.tiktok.com/@benwistone/video/7558095614085483807,Download failed
7558095937315425591,dasieqjj8ma,https://www.tiktok.com/@dasieqjj8ma/video/7558095937315425591,Skipped: video too long (361s > 180s limit)
7558096310591655198,michaelfrancingue,https://www.tiktok.com/@michaelfrancingue/video/7558096310591655198,Skipped: video too long (585s > 180s limit)
7558096402971118879,epaells7239,https://www.tiktok.com/@epaells7239/video/7558096402971118879,Download failed
7558096637235580174,hieuhuynhbao3,https://www.tiktok.com/@hieuhuynhbao3/video/7558096637235580174,Download failed
7558096655808007479,dasieqjj8ma,https://www.tiktok.com/@dasieqjj8ma/video/7558096655808007479,Skipped: video too long (361s > 180s limit)
7558097143177760030,truecrimetoday2,https://www.tiktok.com/@truecrimetoday2/video/7558097143177760030,Download failed
7558097474154548535,farron.balanced37,https://www.tiktok.com/@farron.balanced37/video/7558097474154548535,Skipped: video too long (319s > 180s limit)
7558097678760938807,thediaryofaceofan,https://www.tiktok.com/@thediaryofaceofan/video/7558097678760938807,Skipped: video too long (398s > 180s limit)
7558097756909358366,closertopurpose,https://www.tiktok.com/@closertopurpose/video/7558097756909358366,Skipped: video too long (335s > 180s limit)
7558098932346260766,janitza.caballero,https://www.tiktok.com/@janitza.caballero/video/7558098932346260766,Download failed
7558099156187876622,thediaryofaceofan,https://www.tiktok.com/@thediaryofaceofan/video/7558099156187876622,Skipped: video too long (363s > 180s limit)
7558099775619419405,finallyfaded508,https://www.tiktok.com/@finallyfaded508/video/7558099775619419405,Download failed
7558100077508578615,thediaryofaceofan,https://www.tiktok.com/@thediaryofaceofan/video/7558100077508578615,Skipped: video too long (304s > 180s limit)
7558100414881680671,luxuryvaultclub,https://www.tiktok.com/@luxuryvaultclub/video/7558100414881680671,Download failed
7558100325584997662,ripa5175,https://www.tiktok.com/@ripa5175/video/7558100325584997662,Download failed
7558101377491143966,fastlanefleetmedia,https://www.tiktok.com/@fastlanefleetmedia/video/7558101377491143966,Download failed
7558101142752726303,justlizz222,https://www.tiktok.com/@justlizz222/video/7558101142752726303,Download failed
7558101156803693879,thediaryofaceofan,https://www.tiktok.com/@thediaryofaceofan/video/7558101156803693879,Skipped: video too long (373s > 180s limit)
7558100648076627230,meggiepickles,https://www.tiktok.com/@meggiepickles/video/7558100648076627230,Download failed
7558102207485234487,kwinesofficial,https://www.tiktok.com/@kwinesofficial/video/7558102207485234487,Skipped: video too long (551s > 180s limit)
7558101976244849975,crypto_and_real_estate,https://www.tiktok.com/@crypto_and_real_estate/video/7558101976244849975,Skipped: video too long (224s > 180s limit)
7558102741877263647,andrei.jikh7,https://www.tiktok.com/@andrei.jikh7/video/7558102741877263647,Skipped: video too long (338s > 180s limit)
7558103399166774558,andrei.jikh7,https://www.tiktok.com/@andrei.jikh7/video/7558103399166774558,Skipped: video too long (323s > 180s limit)
7558103160586325262,razziigrows,https://www.tiktok.com/@razziigrows/video/7558103160586325262,Download failed
7558103286138572063,eyesopenxrp_11,https://www.tiktok.com/@eyesopenxrp_11/video/7558103286138572063,Download failed
7558103141552590093,lucky.empire.rei,https://www.tiktok.com/@lucky.empire.rei/video/7558103141552590093,Download failed
7558103535800290574,thediaryofaceofan,https://www.tiktok.com/@thediaryofaceofan/video/7558103535800290574,Skipped: video too long (339s > 180s limit)
7558103555228323127,isaac123456780,https://www.tiktok.com/@isaac123456780/video/7558103555228323127,Download failed
7558103722786704670,theautisticmillionaire,https://www.tiktok.com/@theautisticmillionaire/video/7558103722786704670,Download failed
7558104130842135838,kaiynde,https://www.tiktok.com/@kaiynde/video/7558104130842135838,Download failed
7558104047803272479,ctrl.alt.healingx3,https://www.tiktok.com/@ctrl.alt.healingx3/video/7558104047803272479,Download failed
7558104450888453390,cantblameagirl4tryin,https://www.tiktok.com/@cantblameagirl4tryin/video/7558104450888453390,Download failed
7558104677078895902,grains_n_pains,https://www.tiktok.com/@grains_n_pains/video/7558104677078895902,Skipped: video too long (232s > 180s limit)
7558104543653825806,mistyvarice1,https://www.tiktok.com/@mistyvarice1/video/7558104543653825806,Download failed
7558104800466914573,winwithaaronc,https://www.tiktok.com/@winwithaaronc/video/7558104800466914573,Download failed
7558104770125368590,colognic314,https://www.tiktok.com/@colognic314/video/7558104770125368590,Download failed
7558104765100608798,miliennejcharles,https://www.tiktok.com/@miliennejcharles/video/7558104765100608798,Skipped: video too long (397s > 180s limit)
7558105179325746445,user1357638447531527,https://www.tiktok.com/@user1357638447531527/video/7558105179325746445,Download failed
